Name,AvoidInstantiationInLoop,LocalCouldBeFinal,FinalCouldBeStatic,EmptyCatch,InefficientEmptyString,StringToString,AddEmptyString,AppendingCharacterWithChar,EmptyFinally,ThreadRun
dataset/planetcon,13,367,0,3,0,0,0,71,0,0
dataset/gravitydefied,23,479,1,7,0,0,0,8,0,0
dataset/FishRingsForAndroid,0,10,0,1,0,0,0,0,0,0
dataset/splintersweets,0,0,0,0,0,0,0,0,0,0
dataset/mighty-knight,0,0,0,0,0,0,0,0,0,0
dataset/rabbit-escape,60,2082,10,1,0,0,0,3,0,0
dataset/friendspell,7,279,0,0,0,0,0,0,0,0
dataset/opensudoku,19,376,0,0,0,0,0,20,0,0
dataset/ClonesOnline,0,0,0,0,0,0,0,0,0,0
dataset/KungFoo,0,25,0,0,0,0,0,0,0,0
dataset/Point-and-Hit,2,102,0,0,0,0,0,0,0,0
dataset/PaperCraft,3,151,1,0,0,0,0,0,0,0
dataset/k2,0,0,0,0,0,0,0,0,0,0
dataset/shortyz,56,1001,0,11,0,0,0,6,0,0
dataset/taponium,1,53,1,0,0,0,0,0,0,0
dataset/BobBall,21,246,2,1,0,0,0,1,0,0
dataset/React,0,26,3,0,0,0,0,0,0,0
dataset/privacy-friendly-dice-game,3,69,0,0,0,0,0,0,0,0
dataset/PhoneFoneFun,0,5,0,0,0,0,0,0,0,0
dataset/HouseOfCards,1,46,0,10,0,0,0,0,0,0
dataset/hyperrogue,4,112,1,2,0,0,0,0,0,0
dataset/Politrics,0,34,0,1,0,0,0,0,0,0
dataset/Vector-Pinball,6,382,0,3,0,0,0,1,0,0
dataset/sopa,19,172,0,0,0,0,0,0,0,0
dataset/jigsaw-android,0,47,0,0,0,0,0,0,0,0
dataset/Complica4,14,205,0,3,0,0,0,0,0,0
dataset/memory-game,0,169,0,0,0,0,0,0,0,0
dataset/Simple-Brick-Games,4,79,1,0,0,0,0,0,0,0
dataset/privacy-friendly-werewolf,1,250,0,0,0,0,0,1,0,0
dataset/privacy-friendly-dame,18,178,5,0,0,0,0,0,0,0
dataset/Stratagus,0,10,0,0,0,0,0,0,0,0
dataset/minetest,5,40,3,0,0,0,0,0,0,0
dataset/newplanegame,3,85,2,0,0,0,0,0,0,0
dataset/SeafoodBerserker,12,103,6,1,0,0,0,0,0,0
dataset/Zabyrinth,0,0,0,0,0,0,0,0,0,0
dataset/pipepanic-android,0,11,0,0,0,0,0,0,0,0
dataset/thugaim,11,115,6,0,0,0,0,0,0,0
dataset/Simple-Solitaire,31,795,3,0,0,0,0,4,0,0
dataset/hotdeath,1,231,0,3,0,0,0,0,0,0
dataset/privacy-friendly-memo-game,3,197,1,0,0,0,0,2,0,0
dataset/xskat-android,4,57,167,2,0,0,0,0,0,0
dataset/NumberGuesser,0,9,0,0,0,0,0,0,0,0
dataset/app_ship_capt_crew,0,9,0,0,0,0,0,0,0,0
dataset/Caramelos,12,134,0,0,0,0,0,0,0,0
dataset/frozenbubbleandroid,10,344,0,14,0,0,0,0,1,0
dataset/Klooni1010,11,89,0,0,0,0,0,0,0,0
dataset/guessaday,1,73,0,0,0,0,0,0,0,0
dataset/ColorsOverflow,9,79,1,2,0,0,0,0,0,0
dataset/trans,0,0,0,0,0,0,0,0,0,0
dataset/Tanks-of-Freedom,0,0,0,0,0,0,0,0,0,0
dataset/9p,10,58,0,2,0,0,0,0,0,0
dataset/ExaltedDicer,0,39,0,3,0,0,0,0,0,0
dataset/droidzebra,11,104,0,6,0,0,0,11,0,0
dataset/DodaTheExploda,6,60,0,0,0,0,0,0,0,0
dataset/privacy-friendly-sudoku,58,487,0,0,0,0,0,43,0,0
dataset/Freebloks-Android,21,364,8,2,0,0,0,4,0,0
dataset/knightsofalentejo,18,94,0,0,0,0,0,0,0,0
dataset/app_JustChess,0,107,0,1,0,0,0,0,0,0
dataset/pixel-dungeon,58,1395,1,14,0,0,0,0,0,0
dataset/android-anuto,18,452,0,0,0,0,0,0,0,0
dataset/turo,0,0,0,0,0,0,0,0,0,0
dataset/open_flood,16,98,1,0,0,0,0,0,0,0
dataset/GameOfCards,20,115,0,0,0,0,0,0,0,0
dataset/gobandroid,2,22,0,0,0,0,0,0,0,0
dataset/Blockinger,1,73,0,3,0,0,0,0,0,0
dataset/OpenFool,0,3,0,0,0,0,0,0,0,0
dataset/BrainPhaser,6,422,0,0,0,0,0,0,0,0
dataset/privacy-friendly-boardgame-clock,5,481,3,10,0,0,0,0,0,0
dataset/stk-code,0,0,0,0,0,0,0,0,0,0
dataset/patolli,1,42,0,0,0,0,0,0,0,0
dataset/pentago,4,29,0,1,0,0,0,0,0,0
dataset/andors-trail,46,1029,0,0,0,0,0,0,0,0
dataset/androidsoft-memory,1,46,0,0,0,0,0,0,0,0
dataset/blokish,13,171,0,6,0,0,0,0,0,0
dataset/privacy-friendly-ludo,10,200,0,0,0,0,0,0,0,0
dataset/gloomy-dungeons-2,63,2687,0,44,0,1,0,10,0,0
dataset/EnchantedFortress,4,74,0,0,0,0,0,1,0,0
dataset/freeshisen,7,108,0,1,0,0,0,6,0,0
dataset/tuty-fruty-slot-for-android,0,10,0,2,0,0,0,0,0,0
dataset/defendo,0,0,0,0,0,0,0,0,0,0
dataset/PySolFC,0,0,0,0,0,0,0,0,0,0
dataset/FBEditPlus,7,233,0,5,0,0,0,0,0,0
dataset/privacy-friendly-2048,24,148,3,3,0,0,0,0,0,0
dataset/sgtpuzzles,10,192,2,2,0,0,0,2,0,0
dataset/guess,0,0,0,0,0,0,0,0,0,0
dataset/pokerth,44,1262,7,21,0,0,0,0,0,0
dataset/Minesweeper,0,0,0,0,0,0,0,0,0,0
dataset/TriPeaksSolitaireForAndroid,0,41,0,4,0,0,0,0,0,0
dataset/apple-flinger,11,381,6,2,0,0,0,0,0,0
dataset/opsu,0,3,0,0,0,0,0,0,0,0
dataset/Scribe4,9,165,0,2,0,0,0,0,0,0
dataset/24-game,4,29,0,1,0,0,0,0,0,0
dataset/LibreTrivia,0,82,1,0,0,0,0,0,0,0
dataset/lona,1,237,1,2,0,0,0,3,0,0
dataset/retrobreaker,7,46,0,0,0,0,0,0,0,0
dataset/pienoon,4,32,1,2,0,0,0,0,0,0
dataset/Cows-Revenge,0,0,0,0,0,0,0,0,0,0
dataset/Apollo-Trivia,0,47,0,0,0,0,0,0,0,0
dataset/PretendYoureXyzzyAndroid,32,433,0,0,0,0,0,3,0,0
dataset/Gloomy-Dungeons-3D,17,361,0,10,0,0,0,1,0,0
dataset/ogsdroid,0,74,0,0,0,0,0,0,0,0
dataset/minilens,0,0,0,0,0,0,0,0,0,0
dataset/android-vitosha-poker-odds,6,42,0,0,0,0,0,0,0,0
dataset/candymem,4,16,0,1,0,0,0,0,0,0
dataset/chesswalk,12,185,0,7,0,0,0,4,0,0
dataset/MoTAC,13,641,5,8,0,0,0,0,0,0
dataset/crawl,4,29,0,1,0,0,0,0,0,0
dataset/freeminer,11,79,6,1,0,0,0,0,0,0
dataset/2048-android,0,7,0,0,0,0,0,0,0,0
dataset/punchline-bingo,0,73,0,0,0,0,0,0,0,0
dataset/Snooder21,2,37,2,0,0,0,0,0,0,0
dataset/PianOli,2,20,1,5,0,0,0,0,0,0
dataset/TowerJumper,0,0,0,0,0,0,0,0,0,0
dataset/android-dice-game,24,94,0,1,0,0,0,0,0,0
dataset/HungarianRingsForAndroid,0,10,0,1,0,0,0,0,0,0
dataset/lexica,19,470,0,2,0,0,0,9,0,0
dataset/ShellsMP,8,22,0,1,0,0,0,4,0,0
dataset/Bomber-for-android,0,6,0,0,0,0,0,0,0,0
dataset/privacy-friendly-minesweeper,11,213,1,2,0,0,0,0,0,0
dataset/ChaseWhisplyProject,0,156,2,1,0,0,0,1,0,0
dataset/com.mobilepearls.sokoban,1,55,0,0,0,0,0,0,0,0
dataset/holokenmod,17,233,0,1,0,0,0,0,0,0
dataset/Planet-Rider,0,0,0,0,0,0,0,0,0,0
dataset/pcis,11,55,0,0,0,0,0,0,0,0
dataset/droidfish,132,3441,0,87,0,2,0,20,0,0
dataset/heriswap,0,0,0,0,0,0,0,0,0,0
dataset/IthakaBoardGame,8,65,0,1,0,0,0,0,0,0
dataset/app_critical_velocity,0,4,0,0,0,0,0,0,0,0
dataset/santa-tracker-android,14,1162,9,6,0,0,0,1,0,1
dataset/cantstoptherock,5,52,0,0,0,0,0,0,0,0
